country,year,hdi,region,attacks_count,total_casualty,log_attacks,log_casualties,hdi_group,casualties_per_attack,log_casualties_per_attack
Costa Rica,1991,0.663,Central America & Caribbean,2,0,1.09861228866811,0,Medium,0,0
Cuba,1991,0.674,Central America & Caribbean,1,0,0.693147180559945,0,Medium,0,0
Cyprus,1991,0.719,Western Europe,11,0,2.484906649788,0,High,0,0
Germany,1991,0.835,Western Europe,66,48,4.20469261939097,3.89182029811063,Very High,0.727272727272727,0.54654370636807
Denmark,1991,0.838,Western Europe,1,0,0.693147180559945,0,Very High,0,0
Dominican Republic,1991,0.583,Central America & Caribbean,8,1,2.19722457733622,0.693147180559945,Medium,0.125,0.117783035656384
Algeria,1991,0.594,Middle East & North Africa,30,115,3.43398720448515,4.75359019110636,Medium,3.83333333333333,1.57553636075842
Ecuador,1991,0.652,South America,17,0,2.89037175789617,0,Medium,0,0
Egypt,1991,0.578,Middle East & North Africa,10,21,2.39789527279837,3.09104245335832,Medium,2.1,1.1314021114911
Spain,1991,0.764,Western Europe,89,177,4.49980967033027,5.18178355029209,High,1.98876404494382,1.09485993904956
Fiji,1991,0.647,Australasia & Oceania,3,0,1.38629436111989,0,Medium,0,0
France,1991,0.799,Western Europe,137,11,4.92725368515721,2.484906649788,High,0.0802919708029197,0.0772313479359902
United Kingdom,1991,0.809,Western Europe,262,323,5.57215403217777,5.78074351579233,Very High,1.23282442748092,0.80326734347076
Greece,1991,0.769,Western Europe,57,38,4.06044301054642,3.66356164612965,High,0.666666666666667,0.510825623765991
Guatemala,1991,0.488,Central America & Caribbean,77,95,4.35670882668959,4.56434819146784,Low,1.23376623376623,0.803689054959769
Hong Kong,1991,0.794,East Asia,1,2,0.693147180559945,1.09861228866811,High,2,1.09861228866811
Honduras,1991,0.517,Central America & Caribbean,21,39,3.09104245335832,3.68887945411394,Low,1.85714285714286,1.04982212449868
Haiti,1991,0.433,Central America & Caribbean,17,138,2.89037175789617,4.93447393313069,Low,8.11764705882353,2.21021177286303
Hungary,1991,0.715,Eastern Europe,3,3,1.38629436111989,1.38629436111989,High,1,0.693147180559945
Indonesia,1991,0.532,Southeast Asia,7,81,2.07944154167984,4.40671924726425,Low,11.5714285714286,2.53142666542289
India,1991,0.437,South Asia,339,2439,5.82894561761021,7.79975331828725,Low,7.19469026548673,2.10348641593384
Ireland,1991,0.743,Western Europe,16,2,2.83321334405622,1.09861228866811,High,0.125,0.117783035656384
Iran,1991,0.62,Middle East & North Africa,9,2,2.30258509299405,1.09861228866811,Medium,0.222222222222222,0.200670695462151
Iraq,1991,0.496,Middle East & North Africa,3,3,1.38629436111989,1.38629436111989,Low,1,0.693147180559945
Israel,1991,0.793,Middle East & North Africa,53,58,3.98898404656428,4.07753744390572,High,1.09433962264151,0.739238287760212
Italy,1991,0.783,Western Europe,31,6,3.46573590279973,1.94591014905531,High,0.193548387096774,0.176930708159078
Jamaica,1991,0.662,Central America & Caribbean,1,0,0.693147180559945,0,Medium,0,0
Jordan,1991,0.625,Middle East & North Africa,11,9,2.484906649788,2.30258509299405,Medium,0.818181818181818,0.59783700075562
Japan,1991,0.849,East Asia,19,2,2.99573227355399,1.09861228866811,Very High,0.105263157894737,0.100083458556983
Kenya,1991,0.474,Sub-Saharan Africa,5,0,1.79175946922806,0,Low,0,0
Cambodia,1991,0.383,Southeast Asia,3,34,1.38629436111989,3.55534806148941,Low,11.3333333333333,2.51230562397612
South Korea,1991,0.747,East Asia,6,0,1.94591014905531,0,High,0,0
Kuwait,1991,0.68,Middle East & North Africa,5,2,1.79175946922806,1.09861228866811,Medium,0.4,0.336472236621213
Sri Lanka,1991,0.641,South Asia,115,1420,4.75359019110636,7.2591161280971,Medium,12.3478260869565,2.59135353165805
Lithuania,1991,0.729,Eastern Europe,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Morocco,1991,0.453,Middle East & North Africa,3,3,1.38629436111989,1.38629436111989,Low,1,0.693147180559945
Moldova,1991,0.644,Eastern Europe,1,0,0.693147180559945,0,Medium,0,0
Mexico,1991,0.664,North America,10,13,2.39789527279837,2.63905732961526,Medium,1.3,0.832909122935104
Mali,1991,0.245,Sub-Saharan Africa,12,62,2.56494935746154,4.14313472639153,Low,5.16666666666667,1.81915844341617
Myanmar,1991,0.343,Southeast Asia,22,164,3.13549421592915,5.10594547390058,Low,7.45454545454545,2.13470422035489
Mozambique,1991,0.24,Sub-Saharan Africa,35,440,3.58351893845611,6.08904487544685,Low,12.5714285714286,2.60796674254523
Malaysia,1991,0.648,Southeast Asia,3,1,1.38629436111989,0.693147180559945,Medium,0.333333333333333,0.287682072451781
Namibia,1991,0.585,Sub-Saharan Africa,1,6,0.693147180559945,1.94591014905531,Medium,6,1.94591014905531
Niger,1991,0.218,Sub-Saharan Africa,6,10,1.94591014905531,2.39789527279837,Low,1.66666666666667,0.980829253011726
Nicaragua,1991,0.5,Central America & Caribbean,80,99,4.39444915467244,4.60517018598809,Low,1.2375,0.805359171166873
Netherlands,1991,0.852,Western Europe,8,0,2.19722457733622,0,Very High,0,0
Norway,1991,0.845,Western Europe,2,0,1.09861228866811,0,Very High,0,0
Nepal,1991,0.408,South Asia,1,0,0.693147180559945,0,Low,0,0
New Zealand,1991,0.811,Australasia & Oceania,1,0,0.693147180559945,0,Very High,0,0
Pakistan,1991,0.404,South Asia,150,830,5.01727983681492,6.72262979485545,Low,5.53333333333333,1.87691727756836
Panama,1991,0.672,Central America & Caribbean,16,2,2.83321334405622,1.09861228866811,Medium,0.125,0.117783035656384
Peru,1991,0.625,South America,658,1823,6.49072353450251,7.50878717063428,Medium,2.77051671732523,1.32721205236648
Philippines,1991,0.599,Southeast Asia,162,677,5.09375020080676,6.5191472879404,Medium,4.17901234567901,1.64461437123482
Papua New Guinea,1991,0.38,Australasia & Oceania,2,3,1.09861228866811,1.38629436111989,Low,1.5,0.916290731874155
Romania,1991,0.689,Eastern Europe,1,4,0.693147180559945,1.6094379124341,Medium,4,1.6094379124341
Saudi Arabia,1991,0.688,Middle East & North Africa,2,6,1.09861228866811,1.94591014905531,Medium,3,1.38629436111989
Sudan,1991,0.342,Sub-Saharan Africa,3,32,1.38629436111989,3.49650756146648,Low,10.6666666666667,2.4567357728213
Senegal,1991,0.374,Sub-Saharan Africa,4,5,1.6094379124341,1.79175946922806,Low,1.25,0.810930216216329
Singapore,1991,0.737,Southeast Asia,1,6,0.693147180559945,1.94591014905531,High,6,1.94591014905531
Sierra Leone,1991,0.305,Sub-Saharan Africa,9,128,2.30258509299405,4.85981240436167,Low,14.2222222222222,2.72275634849191
El Salvador,1991,0.536,Central America & Caribbean,500,1441,6.21660610108487,7.2737863178449,Low,2.882,1.35635048474682
Sweden,1991,0.813,Western Europe,6,2,1.94591014905531,1.09861228866811,Very High,0.333333333333333,0.287682072451781
Togo,1991,0.414,Sub-Saharan Africa,2,13,1.09861228866811,2.63905732961526,Low,6.5,2.01490302054227
Thailand,1991,0.585,Southeast Asia,8,38,2.19722457733622,3.66356164612965,Medium,4.75,1.74919985480926
Trinidad and Tobago,1991,0.665,Central America & Caribbean,1,1,0.693147180559945,0.693147180559945,Medium,1,0.693147180559945
Tunisia,1991,0.581,Middle East & North Africa,2,4,1.09861228866811,1.6094379124341,Medium,2,1.09861228866811
Turkey,1991,0.604,Middle East & North Africa,293,608,5.68357976733868,6.4118182677099,Medium,2.07508532423208,1.12333264859127
Uganda,1991,0.331,Sub-Saharan Africa,2,2,1.09861228866811,1.09861228866811,Low,1,0.693147180559945
Ukraine,1991,0.723,Eastern Europe,2,1,1.09861228866811,0.693147180559945,High,0.5,0.405465108108164
Uruguay,1991,0.705,South America,3,0,1.38629436111989,0,High,0,0
United States,1991,0.873,North America,31,57,3.46573590279973,4.06044301054642,Very High,1.83870967741936,1.04334960999306
Venezuela,1991,0.669,South America,17,48,2.89037175789617,3.89182029811063,Medium,2.82352941176471,1.34117392583942
Yemen,1991,0.386,Middle East & North Africa,5,3,1.79175946922806,1.38629436111989,Low,0.6,0.470003629245736
South Africa,1991,0.641,Sub-Saharan Africa,127,759,4.85203026391962,6.63331843328038,Medium,5.97637795275591,1.94252986414649
Zimbabwe,1991,0.512,Sub-Saharan Africa,1,0,0.693147180559945,0,Low,0,0
Afghanistan,1992,0.287,South Asia,36,234,3.61091791264422,5.45958551414416,Low,6.5,2.01490302054227
Albania,1992,0.614,Eastern Europe,3,1,1.38629436111989,0.693147180559945,Medium,0.333333333333333,0.287682072451781
United Arab Emirates,1992,0.742,Middle East & North Africa,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Argentina,1992,0.735,South America,41,257,3.73766961828337,5.55295958492162,High,6.26829268292683,1.9835214198011
Armenia,1992,0.618,Central Asia,2,3,1.09861228866811,1.38629436111989,Medium,1.5,0.916290731874155
Australia,1992,0.869,Australasia & Oceania,4,5,1.6094379124341,1.79175946922806,Very High,1.25,0.810930216216329
Austria,1992,0.835,Western Europe,8,1,2.19722457733622,0.693147180559945,Very High,0.125,0.117783035656384
Burundi,1992,0.289,Sub-Saharan Africa,2,80,1.09861228866811,4.39444915467244,Low,40,3.71357206670431
Belgium,1992,0.835,Western Europe,9,1,2.30258509299405,0.693147180559945,Very High,0.111111111111111,0.105360515657826
Benin,1992,0.369,Sub-Saharan Africa,1,1,0.693147180559945,0.693147180559945,Low,1,0.693147180559945
Bangladesh,1992,0.413,South Asia,76,592,4.34380542185368,6.38519439899773,Low,7.78947368421053,2.17355483325032
Bulgaria,1992,0.686,Eastern Europe,2,0,1.09861228866811,0,Medium,0,0
Belize,1992,0.608,Central America & Caribbean,2,1,1.09861228866811,0.693147180559945,Medium,0.5,0.405465108108164
Bolivia,1992,0.568,South America,38,9,3.66356164612965,2.30258509299405,Medium,0.236842105263158,0.212561441983673
Brazil,1992,0.622,South America,24,38,3.2188758248682,3.66356164612965,Medium,1.58333333333333,0.949080554697146
Barbados,1992,0.727,Central America & Caribbean,1,6,0.693147180559945,1.94591014905531,High,6,1.94591014905531
Brunei,1992,0.781,Southeast Asia,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Central African Republic,1992,0.319,Sub-Saharan Africa,1,1,0.693147180559945,0.693147180559945,Low,1,0.693147180559945
Canada,1992,0.868,North America,3,2,1.38629436111989,1.09861228866811,Very High,0.666666666666667,0.510825623765991
Switzerland,1992,0.856,Western Europe,6,12,1.94591014905531,2.56494935746154,Very High,2,1.09861228866811
Chile,1992,0.723,South America,116,25,4.76217393479776,3.25809653802148,High,0.21551724137931,0.195169699271804
China,1992,0.504,East Asia,5,29,1.79175946922806,3.40119738166216,Low,5.8,1.91692261218206
Ivory Coast,1992,0.43,Sub-Saharan Africa,3,1,1.38629436111989,0.693147180559945,Low,0.333333333333333,0.287682072451781
Cameroon,1992,0.446,Sub-Saharan Africa,6,11,1.94591014905531,2.484906649788,Low,1.83333333333333,1.04145387482816
Colombia,1992,0.628,South America,523,1080,6.26149168432104,6.98564181763921,Medium,2.06500956022945,1.12005068854463
Costa Rica,1992,0.674,Central America & Caribbean,2,0,1.09861228866811,0,Medium,0,0
Cuba,1992,0.668,Central America & Caribbean,4,4,1.6094379124341,1.6094379124341,Medium,1,0.693147180559945
Cyprus,1992,0.726,Western Europe,6,0,1.94591014905531,0,High,0,0
Germany,1992,0.842,Western Europe,156,234,5.05624580534831,5.45958551414416,Very High,1.5,0.916290731874155
Denmark,1992,0.841,Western Europe,4,1,1.6094379124341,0.693147180559945,Very High,0.25,0.22314355131421
Dominican Republic,1992,0.593,Central America & Caribbean,11,11,2.484906649788,2.484906649788,Medium,1,0.693147180559945
Algeria,1992,0.599,Middle East & North Africa,215,510,5.37527840768417,6.2363695902037,Medium,2.37209302325581,1.21553362672701
Ecuador,1992,0.658,South America,23,8,3.17805383034795,2.19722457733622,Medium,0.347826086956522,0.298492988555997
Egypt,1992,0.585,Middle East & North Africa,79,170,4.38202663467388,5.14166355650266,Medium,2.15189873417722,1.14800504399769
Spain,1992,0.772,Western Europe,72,112,4.29045944114839,4.72738781871234,High,1.55555555555556,0.93826963859293
Estonia,1992,0.719,Eastern Europe,2,1,1.09861228866811,0.693147180559945,High,0.5,0.405465108108164
Finland,1992,0.825,Western Europe,1,0,0.693147180559945,0,Very High,0,0
Fiji,1992,0.651,Australasia & Oceania,1,1,0.693147180559945,0.693147180559945,Medium,1,0.693147180559945
France,1992,0.806,Western Europe,126,21,4.84418708645859,3.09104245335832,Very High,0.166666666666667,0.154150679827258
United Kingdom,1992,0.816,Western Europe,274,627,5.61677109766657,6.4425401664682,Very High,2.28832116788321,1.19037715122027
Ghana,1992,0.47,Sub-Saharan Africa,8,1,2.19722457733622,0.693147180559945,Low,0.125,0.117783035656384
Guinea,1992,0.282,Sub-Saharan Africa,2,0,1.09861228866811,0,Low,0,0
Greece,1992,0.769,Western Europe,35,36,3.58351893845611,3.61091791264422,High,1.02857142857143,0.707331815551902
Guatemala,1992,0.492,Central America & Caribbean,48,95,3.89182029811063,4.56434819146784,Low,1.97916666666667,1.09164361935202
Guyana,1992,0.52,South America,4,1,1.6094379124341,0.693147180559945,Low,0.25,0.22314355131421
Hong Kong,1992,0.802,East Asia,6,1,1.94591014905531,0.693147180559945,Very High,0.166666666666667,0.154150679827258
Honduras,1992,0.521,Central America & Caribbean,12,10,2.56494935746154,2.39789527279837,Low,0.833333333333333,0.606135803570316
Haiti,1992,0.435,Central America & Caribbean,27,25,3.3322045101752,3.25809653802148,Low,0.925925925925926,0.655406852577098
Hungary,1992,0.714,Eastern Europe,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Indonesia,1992,0.54,Southeast Asia,4,33,1.6094379124341,3.52636052461616,Low,8.25,2.22462355152433
India,1992,0.442,South Asia,237,2069,5.47227067367148,7.63530388625942,Low,8.72995780590717,2.27520955969387
Ireland,1992,0.751,Western Europe,7,0,2.07944154167984,0,High,0,0
Iran,1992,0.627,Middle East & North Africa,16,14,2.83321334405622,2.70805020110221,Medium,0.875,0.628608659422374
Iraq,1992,0.524,Middle East & North Africa,35,205,3.58351893845611,5.32787616878958,Low,5.85714285714286,1.92529086185258
Israel,1992,0.797,Middle East & North Africa,58,108,4.07753744390572,4.69134788222914,High,1.86206896551724,1.05154477781012
Italy,1992,0.789,Western Europe,37,40,3.63758615972639,3.71357206670431,High,1.08108108108108,0.732887509209459
Jamaica,1992,0.663,Central America & Caribbean,6,5,1.94591014905531,1.79175946922806,Medium,0.833333333333333,0.606135803570316
Jordan,1992,0.637,Middle East & North Africa,2,1,1.09861228866811,0.693147180559945,Medium,0.5,0.405465108108164
Japan,1992,0.85,East Asia,40,0,3.71357206670431,0,Very High,0,0
Kazakhstan,1992,0.667,Central Asia,5,10,1.79175946922806,2.39789527279837,Medium,2,1.09861228866811
Kenya,1992,0.473,Sub-Saharan Africa,30,217,3.43398720448515,5.38449506278909,Low,7.23333333333333,2.10819095496582
Cambodia,1992,0.387,Southeast Asia,67,212,4.21950770517611,5.36129216570943,Low,3.16417910447761,1.4265191624304
South Korea,1992,0.754,East Asia,3,1,1.38629436111989,0.693147180559945,High,0.333333333333333,0.287682072451781
Kuwait,1992,0.678,Middle East & North Africa,15,13,2.77258872223978,2.63905732961526,Medium,0.866666666666667,0.624154309072994
Libya,1992,0.681,Middle East & North Africa,1,0,0.693147180559945,0,Medium,0,0
Sri Lanka,1992,0.65,South Asia,103,1433,4.64439089914137,7.26822302115957,Medium,13.9126213592233,2.70220792547798
Lithuania,1992,0.714,Eastern Europe,1,0,0.693147180559945,0,High,0,0
Latvia,1992,0.706,Eastern Europe,2,1,1.09861228866811,0.693147180559945,High,0.5,0.405465108108164
Morocco,1992,0.457,Middle East & North Africa,1,2,0.693147180559945,1.09861228866811,Low,2,1.09861228866811
Moldova,1992,0.632,Eastern Europe,11,49,2.484906649788,3.91202300542815,Medium,4.45454545454545,1.69644928942373
Mexico,1992,0.667,North America,6,8,1.94591014905531,2.19722457733622,Medium,1.33333333333333,0.847297860387204
Mali,1992,0.249,Sub-Saharan Africa,3,5,1.38629436111989,1.79175946922806,Low,1.66666666666667,0.980829253011726
Malta,1992,0.737,Western Europe,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Myanmar,1992,0.356,Southeast Asia,12,203,2.56494935746154,5.31811999384422,Low,16.9166666666667,2.88573137833966
Mozambique,1992,0.234,Sub-Saharan Africa,19,195,2.99573227355399,5.27811465923052,Low,10.2631578947368,2.42153703585541
Malawi,1992,0.319,Sub-Saharan Africa,3,32,1.38629436111989,3.49650756146648,Low,10.6666666666667,2.4567357728213
Malaysia,1992,0.656,Southeast Asia,2,0,1.09861228866811,0,Medium,0,0
Niger,1992,0.222,Sub-Saharan Africa,16,47,2.83321334405622,3.87120101090789,Low,2.9375,1.37054600415175
Nicaragua,1992,0.505,Central America & Caribbean,30,35,3.43398720448515,3.58351893845611,Low,1.16666666666667,0.773189888233482
Netherlands,1992,0.853,Western Europe,12,1,2.56494935746154,0.693147180559945,Very High,0.0833333333333333,0.0800427076735364
Norway,1992,0.851,Western Europe,2,2,1.09861228866811,1.09861228866811,Very High,1,0.693147180559945
Nepal,1992,0.416,South Asia,8,55,2.19722457733622,4.02535169073515,Low,6.875,2.0636931847117
Pakistan,1992,0.409,South Asia,85,545,4.45434729625351,6.30261897574491,Low,6.41176470588235,2.00306856289526
Panama,1992,0.678,Central America & Caribbean,37,23,3.63758615972639,3.17805383034795,Medium,0.621621621621622,0.483426649577876
Peru,1992,0.625,South America,383,1568,5.95064255258773,7.35819375273303,Medium,4.09399477806789,1.62806235144247
Philippines,1992,0.603,Southeast Asia,162,860,5.09375020080676,6.75809450442773,Medium,5.30864197530864,1.84192043553127
Papua New Guinea,1992,0.391,Australasia & Oceania,10,17,2.39789527279837,2.89037175789617,Low,1.7,0.993251773010283
Poland,1992,0.718,Eastern Europe,5,9,1.79175946922806,2.30258509299405,High,1.8,1.02961941718116
Portugal,1992,0.727,Western Europe,1,1,0.693147180559945,0.693147180559945,High,1,0.693147180559945
Paraguay,1992,0.605,South America,4,0,1.6094379124341,0,Medium,0,0
Romania,1992,0.679,Eastern Europe,1,0,0.693147180559945,0,Medium,0,0
Sudan,1992,0.331,Sub-Saharan Africa,7,13,2.07944154167984,2.63905732961526,Low,1.85714285714286,1.04982212449868
